p-0.04_10.989_0 dE= 0.01070
p+0.04_10.989_0 dE= 0.01084
p-0.04_10.989_1 dE= 0.01127
p+0.04_10.989_1 dE= 0.01124
p_uns_0.2_1000_2887 dE= 0.80617
p_uns_0.2_1000_3535 dE= 3.40470
p_uns_0.2_1000_998 dE= 0.74183
actual force   predicted force   difference
-0.00080 0.00164 -0.00244
-0.00176 -0.00085 -0.00091
0.00292 0.00266 0.00025
-0.05776 -0.05310 -0.00467
-0.03261 -0.03206 -0.00056
-0.07339 -0.06620 -0.00719
0.00066 0.00659 -0.00592
-0.00044 -0.00137 0.00093
0.00372 0.01167 -0.00795
0.00394 0.00546 -0.00152
-0.00495 -0.00816 0.00321
-0.00389 0.01196 -0.01586
0.00040 -0.00000 0.00040
-0.00014 0.00389 -0.00403
0.00301 0.00127 0.00174
-0.00034 0.00000 -0.00035
-0.01568 -0.01677 0.00109
-0.00221 -0.00818 0.00597
0.00035 -0.00660 0.00695
-0.00037 -0.00137 0.00100
0.00374 0.01166 -0.00792
-0.00456 -0.00547 0.00091
-0.00496 -0.00816 0.00320
-0.00387 0.01195 -0.01583
-0.00006 0.00374 -0.00380
0.00092 0.00368 -0.00275
0.00202 0.00267 -0.00065
-0.00309 -0.00678 0.00370
0.00653 0.00368 0.00285
-0.00211 0.00246 -0.00457
0.00018 0.00475 -0.00457
-0.00094 0.00278 -0.00372
0.00368 0.00397 -0.00029
0.00033 0.00000 0.00033
0.00090 0.00000 0.00090
-0.00034 0.00000 -0.00034
0.00021 -0.00475 0.00496
-0.00033 0.00278 -0.00311
0.00285 0.00396 -0.00111
-0.00130 0.00000 -0.00130
0.00066 0.00000 0.00066
0.00149 0.00000 0.00149
0.00042 -0.00375 0.00417
0.00043 0.00367 -0.00324
0.00290 0.00266 0.00024
0.00217 0.00678 -0.00461
0.00685 0.00368 0.00317
-0.00392 0.00247 -0.00638
-0.00089 0.00699 -0.00788
-0.00035 0.00340 -0.00376
0.00217 0.00299 -0.00082
-0.01417 -0.00978 -0.00439
0.00859 0.00890 -0.00031
-0.00222 -0.00821 0.00599
0.00057 0.00000 0.00057
-0.00040 -0.01363 0.01323
0.00372 0.00058 0.00315
-0.00030 0.00000 -0.00030
-0.00027 0.00000 -0.00027
-0.00031 0.00000 -0.00031
0.00173 -0.00701 0.00874
-0.00030 0.00341 -0.00371
0.00217 0.00299 -0.00081
0.01357 0.00979 0.00378
0.00862 0.00889 -0.00027
-0.00220 -0.00819 0.00600
0.00029 -0.00594 0.00623
-0.00038 0.00221 -0.00260
0.00284 0.00396 -0.00112
-0.00728 -0.00395 -0.00332
-0.00068 -0.00047 -0.00021
-0.00205 0.00237 -0.00442
0.00016 0.00593 -0.00577
-0.00095 0.00221 -0.00316
0.00363 0.00397 -0.00034
0.00637 0.00395 0.00242
-0.00042 -0.00047 0.00005
-0.00388 0.00237 -0.00625
0.00046 -0.00000 0.00046
-0.00019 -0.00370 0.00351
0.00296 0.00128 0.00169
-0.00028 0.00000 -0.00028
0.00034 0.00000 0.00034
-0.00188 0.00000 -0.00188
0.00059 0.00001 0.00057
-0.00032 0.00710 -0.00742
-0.02438 -0.02524 0.00086
-0.00021 0.00000 -0.00021
0.00061 0.00000 0.00061
0.00088 0.00000 0.00088
-0.00008 -0.00218 0.00210
-0.00143 -0.00209 0.00066
-0.00110 -0.00741 0.00631
-0.00086 0.00000 -0.00086
-0.00011 0.00000 -0.00011
0.00164 0.00000 0.00164
0.00073 0.00218 -0.00145
-0.00168 -0.00209 0.00042
-0.00235 -0.00741 0.00506
-0.00052 0.00000 -0.00052
0.00016 0.00000 0.00016
0.00086 0.00000 0.00086
-0.00134 0.00000 -0.00134
-0.00162 0.00000 -0.00162
0.00344 0.00000 0.00344
0.00007 0.00000 0.00007
0.00019 0.00000 0.00019
-0.00347 0.00000 -0.00347
0.00050 0.00000 0.00050
0.00262 0.00000 0.00262
-0.00119 0.00000 -0.00119
-0.00065 0.00000 -0.00065
0.00032 0.00000 0.00032
0.00592 0.00000 0.00592
0.00250 0.00000 0.00250
-0.00154 0.00000 -0.00154
0.00341 0.00000 0.00341
-0.00047 0.00000 -0.00047
0.00018 0.00000 0.00018
-0.00347 0.00000 -0.00347
-0.00094 -0.00344 0.00250
0.00009 -0.00278 0.00287
-0.00107 -0.00090 -0.00018
-0.00090 0.00000 -0.00090
0.00008 0.00000 0.00008
-0.00272 0.00000 -0.00272
0.00300 0.00000 0.00300
-0.00190 0.00000 -0.00190
-0.00253 0.00000 -0.00253
-0.00047 0.00000 -0.00047
0.00009 0.00000 0.00009
-0.00032 0.00000 -0.00032
-0.00221 0.00000 -0.00221
-0.00162 0.00000 -0.00162
-0.00135 0.00000 -0.00135
-0.00092 0.00000 -0.00092
-0.00017 0.00000 -0.00017
0.00045 0.00000 0.00045
0.00159 0.00344 -0.00185
-0.00015 -0.00278 0.00262
-0.00233 -0.00089 -0.00144
-0.00034 0.00000 -0.00034
0.00044 0.00000 0.00044
-0.00349 0.00000 -0.00349
-0.00032 0.00029 -0.00062
0.00081 0.00068 0.00013
-0.00092 0.00255 -0.00347
-0.00056 0.00000 -0.00056
0.00050 0.00000 0.00050
0.00589 0.00000 0.00589
0.00064 0.00000 0.00064
0.00197 0.00000 0.00197
0.00341 0.00000 0.00341
-0.00020 0.00000 -0.00020
0.00058 0.00000 0.00058
-0.00035 0.00000 -0.00035
0.00132 -0.00029 0.00162
0.00077 0.00068 0.00009
-0.00093 0.00255 -0.00349
-0.00062 0.00000 -0.00062
0.00055 0.00000 0.00055
0.00588 0.00000 0.00588
-0.00122 0.00000 -0.00122
-0.00116 0.00000 -0.00116
-0.00135 0.00000 -0.00135
-0.00115 0.00000 -0.00115
-0.00029 0.00000 -0.00029
-0.00272 0.00000 -0.00272
0.00197 0.00000 0.00197
-0.00144 0.00000 -0.00144
-0.00253 0.00000 -0.00253
-0.00013 0.00000 -0.00013
0.00006 0.00000 0.00006
-0.00348 0.00000 -0.00348
0.00050 0.00000 0.00050
0.00150 0.00000 0.00150
-0.00109 0.00000 -0.00109
-0.00056 0.00000 -0.00056
0.00034 0.00000 0.00034
0.00293 0.00000 0.00293
0.00065 0.00001 0.00064
-0.00012 0.00146 -0.00158
-0.02552 -0.02524 -0.00028
-0.00030 0.00005 -0.00035
-0.07991 -0.07412 -0.00579
-0.08900 -0.08030 -0.00870
0.00074 -0.00149 0.00223
0.00124 0.00597 -0.00473
-0.00229 -0.00090 -0.00139
-0.07051 -0.08203 0.01152
0.04056 0.04508 -0.00452
-0.09097 -0.11458 0.02360
0.00015 0.00149 -0.00134
0.00107 0.00597 -0.00490
-0.00047 -0.00089 0.00042
0.06964 0.08216 -0.01252
0.04079 0.04505 -0.00426
-0.08978 -0.11445 0.02467
0.00264 0.00000 0.00264
0.00076 0.00000 0.00076
0.00261 0.00000 0.00261
-0.00531 0.00733 -0.01264
0.00600 0.00149 0.00451
-0.00362 -0.00132 -0.00231
0.00058 0.00000 0.00058
-0.00327 0.00000 -0.00327
-0.00201 0.00000 -0.00201
-0.00034 -0.00001 -0.00033
0.01640 0.01778 -0.00137
